PRODUCT UPLOAD  ·  Master Formulation Sheet,,,,,,,,,,,,,,,,,,,
One row per product. Fill in all available fields — leave blank anything unknown. Do not guess formulation details.,,,,,,,,,,,,,,,,,,,
productSource,clinic,productName,displayName,productId,category,subCategory,drugForm,drugStrength,directions,refills,deaSchedule,quantityUnitOfMeasure,rxQty,daysSupply,refrigerationType,price,vendorCost,encounterRequired,requireLabs
Greenwich,Regenerative Revival,Wiz - BPC-157 3MG/ML (3 Month Supply),BPC-157 - 3 Month Supply,123213,Peptides,Injectable,injection,3mg/mL,"Inject 20 units subcutaneously once daily in the morning for 5 days on, followed by 2 days off.",1,Unspecified,Injectable,15mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - BPC-157/GHK-Cu/KPV/TB500 3mg/10mg/3mg/3mg/mL (3 Month Supply),BPC-157/GHK-Cu/KPV/TB500 - 3 Month Supply,123214,Peptides,Injectable,injection,3mg/10mg/3mg/3mg/mL,"Inject 20 units subcutaneously once daily in the morning for 5 days on, followed by 2 days off.",1,Unspecified,Injectable,15mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - BPC-157/KPV/TB500 3mg/3mg/3mg/mL (3 Month Supply),BPC-157/KPV/TB500 - 3 Month Supply,123215,Peptides,Injectable,injection,3mg/3mg/3mg/mL,"Inject 20 units subcutaneously once daily in the morning for 5 days on, followed by 2 days off.",1,Unspecified,Injectable,15mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - BPC-157/TB500 3mg/3mg/mL (3 Month Supply),BPC-157/TB500 - 3 Month Supply,123216,Peptides,Injectable,injection,3mg/3mg/mL,"Inject 20 units subcutaneously once daily in the morning for 5 days on, followed by 2 days off.",1,Unspecified,Injectable,15mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - CJC/Ipamorelin 1.2mg/2mg (3 Month Supply),CJC/Ipamorelin - 3 Month Supply,123217,Peptides,Injectable,injection,1.2mg/2mg/mL,"Inject 25 units subcutaneously nightly at bedtime for 5 days on, followed by 2 days off.",1,Unspecified,Injectable,15mL,84,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - DSIP 1mg/mL (3 Month Supply),DSIP - 3 Month Supply,123218,Peptides,Injectable,injection,1mg/mL,"Inject 25 units subcutaneously nightly at bedtime for 5 days on, followed by 2 days off.",1,Unspecified,Injectable,15mL,84,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - DSIP/BPC/CJC 1mg/2mg/2mg (3 Month Supply),DSIP/BPC/CJC - 3 Month Supply,123219,Peptides,Injectable,injection,1mg/2mg/2mg/mL,"Inject 25 units subcutaneously nightly at bedtime for 5 days on, followed by 2 days off.",1,Unspecified,Injectable,15mL,84,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - GHK-Cu 10mg/mL (3 Month Supply),GHK-Cu - 3 Month Supply,123221,Peptides,Injectable,injection,10mg/mL,"Inject 20 units subcutaneously once daily in the morning for 5 days on, followed by 2 days off.",0,Unspecified,Injectable,15mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - GHK-Cu/Epithalon 10mg/2mg/mL (3 Month Supply),GHK-Cu/Epithalon - 3 Month Supply,123222,Peptides,Injectable,injection,10mg/2mg/mL,"Inject 20 units subcutaneously once daily in the morning for 5 days on, followed by 2 days off.",0,Unspecified,Injectable,15mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - Glutathione 200mg/mL (3 Month Supply),Glutathione - 3 Month Supply,123223,Peptides,Injectable,injection,200mg/ml,Inject 1 mL (200 mg) intramuscularly twice weekly.,1,Unspecified,Injectable,30mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - Gonadorelin 1mg/mL (3 Month Supply),Gonadorelin - 3 Month Supply,123224,Peptides,Injectable,injection,1mg/mL,Inject 15 units subcutaneously nightly at bedtime.,1,Unspecified,Injectable,15mL,99,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - LIPO-B 50mg/50mg/25mg/1mg/mL (3 Month Supply),LIPO-B - 3 Month Supply,123227,Peptides,Injectable,injection,50mg/50mg/25mg/1mg/mL,Inject 1 mL (100 units) into the muscle two times a week,1,Unspecified,Injectable,30mL,105,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - MOTS-C 2mg/mL (3 Month Supply),MOTS-C - 3 Month Supply,123229,Peptides,Injectable,injection,2mg/mL,Inject 60 units subcutaneously in the morning three times weekly.,1,Unspecified,Injectable,15mL,60,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - NAD+ 100mg/mL (3 Month Supply),NAD+ - 3 Month Supply,123230,Peptides,Injectable,injection,100mg/mL,"Inject 50 units subcutaneously 2–3 times weekly for 2 weeks, then may increase to 75 units subcutaneously 2–3 times weekly if well tolerated.",1,Unspecified,Injectable,30mL,93,Refrigerated,1,1,,
Greenwich,Regenerative Revival,Wiz - Pinealon/PE22-28/Selank 2mg/2mg/2mg/mL (3 Month Supply),Pinealon/PE22-28/Selank - 3 Month Supply,123231,Peptides,Injectable,injection,2mg/2mg/2mg/mL,"Inject 25 units subcutaneously once daily in the morning, Monday through Friday, followed by 2 days off.",1,Unspecified,Injectable,15mL,84,Refrigerated,1,1,,
