Date,Clicks,Impressions,CTR,Position
2026-04-10,12,145,8.28%,37.2
2026-04-11,27,141,19.15%,32.1
2026-04-12,23,163,14.11%,39.6
2026-04-13,25,210,11.90%,44.2
2026-04-14,13,164,7.93%,34.5
2026-04-15,22,149,14.77%,35.8
2026-04-16,13,152,8.55%,35.8
2026-04-17,10,121,8.26%,39.2
2026-04-18,14,136,10.29%,40.1
2026-04-19,7,123,5.69%,42.7
2026-04-20,24,191,12.57%,42.9
2026-04-21,25,164,15.24%,29.2
2026-04-22,10,126,7.94%,40.1
2026-04-23,16,139,11.51%,40
2026-04-24,18,138,13.04%,34.5
2026-04-25,11,105,10.48%,37.2
2026-04-26,10,107,9.35%,40.2
2026-04-27,25,155,16.13%,26.8
2026-04-28,21,136,15.44%,15.9
2026-04-29,18,118,15.25%,20.7
2026-04-30,31,156,19.87%,21.6
2026-05-01,9,105,8.57%,40.2
2026-05-02,9,115,7.83%,34.2
2026-05-03,9,108,8.33%,35
2026-05-04,24,111,21.62%,24.9
2026-05-05,23,136,16.91%,19.3
2026-05-06,22,109,20.18%,23.8
2026-05-07,21,96,21.88%,27.4
2026-05-08,7,91,7.69%,30.7
2026-05-09,5,62,8.06%,32.9
2026-05-10,8,90,8.89%,26.8
2026-05-11,16,108,14.81%,28.8
2026-05-12,21,112,18.75%,19.3
2026-05-13,12,110,10.91%,20.4
2026-05-14,18,156,11.54%,22.9
2026-05-15,14,115,12.17%,41.9
2026-05-16,6,101,5.94%,43.9
2026-05-17,8,143,5.59%,50.4
2026-05-18,25,197,12.69%,33.9
2026-05-19,22,124,17.74%,32.8
2026-05-20,12,123,9.76%,32.4
2026-05-21,9,180,5%,37
2026-05-22,14,127,11.02%,39.1
2026-05-23,11,118,9.32%,41.5
2026-05-24,1,142,0.70%,54.4
2026-05-25,6,187,3.21%,45.6
2026-05-26,11,126,8.73%,39.6
2026-05-27,5,152,3.29%,31.9
2026-05-28,15,150,10%,44.7
2026-05-29,11,146,7.53%,42.9
2026-05-30,7,142,4.93%,49
2026-05-31,3,141,2.13%,56.6
2026-06-01,33,218,15.14%,38.5
2026-06-02,32,142,22.54%,26.2
2026-06-03,28,128,21.88%,27.4
2026-06-04,30,159,18.87%,27.8
2026-06-05,16,91,17.58%,32.2
2026-06-06,9,73,12.33%,38.7
2026-06-07,9,90,10%,42.3
2026-06-08,18,175,10.29%,33.7
2026-06-09,7,92,7.61%,35.6
2026-06-10,13,132,9.85%,26.4
2026-06-11,7,82,8.54%,38.9
2026-06-12,6,114,5.26%,42.1
2026-06-13,10,149,6.71%,44.1
2026-06-14,14,153,9.15%,38
2026-06-15,11,184,5.98%,42.9
2026-06-16,20,169,11.83%,33
2026-06-17,17,160,10.62%,43.4
2026-06-18,20,192,10.42%,37.4
2026-06-19,13,152,8.55%,38.4
2026-06-20,6,120,5%,50
2026-06-21,9,185,4.86%,49.7
2026-06-22,15,183,8.20%,44.6
2026-06-23,16,119,13.45%,40.3
2026-06-24,19,155,12.26%,49.4
2026-06-25,6,172,3.49%,58
2026-06-26,17,170,10%,46.2
2026-06-27,7,124,5.65%,46.9
2026-06-28,7,144,4.86%,36
2026-06-29,8,170,4.71%,33.7
2026-06-30,18,158,11.39%,39.5
2026-07-01,17,165,10.30%,28.3
2026-07-02,3,157,1.91%,41.6
2026-07-03,2,103,1.94%,52.5
2026-07-04,3,59,5.08%,56
2026-07-05,1,61,1.64%,42
2026-07-06,4,69,5.80%,20.7
2026-07-07,0,49,0%,30.5
2026-07-08,1,34,2.94%,37.6
2026-07-09,0,48,0%,49.2
