"#";"Url";"Type";"Anchor";"No-follow";"Google index";"Bing index";"SEMrush Rank";"SEMrush backlinks";"SEMrush subdomain backlinks"
"1";"https://www.facebook.com/profile.php?id=61587272874503";"text";"Follow";"No";"?";"?";"4";"?";"31740036499"
"2";"https://www.instagram.com/regenerativerevival/";"text";"Follow";"No";"?";"?";"5";"?";"25819058497"
"3";"https://www.linkedin.com/in/seth-berge-16512b66/";"text";"Follow";"No";"?";"?";"24";"?";"9504540405"
"4";"https://www.tiktok.com/@sethdberge";"text";"Follow";"No";"?";"?";"?";"?";"?"
"5";"https://www.youtube.com/@SethBerge";"text";"Follow";"No";"?";"?";"1";"?";"24902025656"
"6";"https://www.arora-health.com/";"image";"";"No";"?";"?";"?";"?";"?"
"7";"https://wordpress.org/";"text";"WordPress.org";"No";"?";"?";"?";"?";"?"
"8";"https://wordpress.org/documentation/";"text";"Documentation";"No";"?";"?";"?";"?";"?"
"9";"https://learn.wordpress.org/";"text";"Learn WordPress";"No";"?";"?";"?";"?";"?"
"10";"https://wordpress.org/support/forums/";"text";"Support";"No";"?";"?";"?";"?";"?"
"11";"https://wordpress.org/support/forum/requests-and-feedback";"text";"Feedback";"No";"?";"?";"?";"?";"?"
