Original URL,Target URL,Final URL,Status Code,Status,Redirects,Clicks (3mo),Impressions (3mo),Error
"https://regenerativerevival.com/","https://regenerativerevival.com/","https://www.regenerativerevival.com/","200","OK","1","871","8020",""
"https://regenerativerevival.com/about/","https://regenerativerevival.com/about/","https://www.regenerativerevival.com/about","200","OK","2","276","4155",""
"https://regenerativerevival.com/why-stem-cells/","https://regenerativerevival.com/why-stem-cells/","https://www.regenerativerevival.com/why-stem-cells","200","OK","2","50","2251",""
"https://regenerativerevival.com/services/","https://regenerativerevival.com/services/","https://www.regenerativerevival.com/services","200","OK","2","46","1875",""
"https://regenerativerevival.com/contact/","https://regenerativerevival.com/contact/","https://www.regenerativerevival.com/contact","200","OK","2","39","1686",""
"https://regenerativerevival.com/the-ultimate-guide-to-managing-joint-pain-with-regenerative-therapies/","https://regenerativerevival.com/the-ultimate-guide-to-managing-joint-pain-with-regenerative-therapies/","https://www.regenerativerevival.com/news/the-ultimate-guide-to-managing-joint-pain-with-regenerative-therapies","200","OK","3","12","1755",""
"https://regenerativerevival.com/news/","https://regenerativerevival.com/news/","https://www.regenerativerevival.com/news","200","OK","2","10","1117",""
"https://regenerativerevival.com/home-2/","https://regenerativerevival.com/home-2/","https://www.regenerativerevival.com/","200","OK","3","6","315",""
"https://regenerativerevival.com/how-to-enhance-your-workout-recovery-with-stem-cell-therapy/","https://regenerativerevival.com/how-to-enhance-your-workout-recovery-with-stem-cell-therapy/","https://www.regenerativerevival.com/news/how-to-enhance-your-workout-recovery-with-stem-cell-therapy","200","OK","3","5","642",""
"https://regenerativerevival.com/why-exosomes/","https://regenerativerevival.com/why-exosomes/","https://www.regenerativerevival.com/why-exosomes","200","OK","2","4","376",""
"https://regenerativerevival.com/how-to-choose-the-right-regenerative-medicine-provider-for-your-needs/","https://regenerativerevival.com/how-to-choose-the-right-regenerative-medicine-provider-for-your-needs/","https://www.regenerativerevival.com/news/how-to-choose-the-right-regenerative-medicine-provider-for-your-needs","200","OK","3","1","44",""
"https://regenerativerevival.com/category/stem-cells/page/3/","https://regenerativerevival.com/category/stem-cells/page/3/","https://www.regenerativerevival.com/category/stem-cells/page/3","404","MISSING","2","1","28",""
"https://regenerativerevival.com/author/johnlaydesigns-com/","https://regenerativerevival.com/author/johnlaydesigns-com/","https://www.regenerativerevival.com/author/johnlaydesigns-com","404","MISSING","2","1","16",""
"https://regenerativerevival.com/how-to-maximize-your-healing-potential-with-advanced-stem-cell-treatments/","https://regenerativerevival.com/how-to-maximize-your-healing-potential-with-advanced-stem-cell-treatments/","https://www.regenerativerevival.com/news/how-to-maximize-your-healing-potential-with-advanced-stem-cell-treatments","200","OK","3","1","14",""
"https://regenerativerevival.com/expert-tips-for-choosing-the-right-regenerative-medicine-provider/","https://regenerativerevival.com/expert-tips-for-choosing-the-right-regenerative-medicine-provider/","https://www.regenerativerevival.com/news/expert-tips-for-choosing-the-right-regenerative-medicine-provider","200","OK","3","0","230",""
"https://regenerativerevival.com/10-tips-to-naturally-boost-your-energy-and-performance/","https://regenerativerevival.com/10-tips-to-naturally-boost-your-energy-and-performance/","https://www.regenerativerevival.com/news/10-tips-to-naturally-boost-your-energy-and-performance","200","OK","3","0","162",""
"https://regenerativerevival.com/category/stem-cells/","https://regenerativerevival.com/category/stem-cells/","https://www.regenerativerevival.com/news","200","OK","3","0","44",""
"https://regenerativerevival.com/disclaimer/","https://regenerativerevival.com/disclaimer/","https://www.regenerativerevival.com/disclaimer","200","OK","2","0","39",""
"https://regenerativerevival.com/5-common-misconceptions-about-regenerative-medicine-debunked/","https://regenerativerevival.com/5-common-misconceptions-about-regenerative-medicine-debunked/","https://www.regenerativerevival.com/news/5-common-misconceptions-about-regenerative-medicine-debunked","200","OK","3","0","39",""
"https://regenerativerevival.com/the-role-of-regenerative-medicine-in-joint-health/","https://regenerativerevival.com/the-role-of-regenerative-medicine-in-joint-health/","https://www.regenerativerevival.com/news/the-role-of-regenerative-medicine-in-joint-health","200","OK","3","0","39",""
"https://regenerativerevival.com/terms-conditions/","https://regenerativerevival.com/terms-conditions/","https://www.regenerativerevival.com/terms-conditions","200","OK","2","0","32",""
"https://regenerativerevival.com/privacy-policy/","https://regenerativerevival.com/privacy-policy/","https://www.regenerativerevival.com/privacy-policy","200","OK","2","0","28",""
"https://regenerativerevival.com/understanding-whartons-jelly-what-it-is-and-how-it-benefits-your-treatment/","https://regenerativerevival.com/understanding-whartons-jelly-what-it-is-and-how-it-benefits-your-treatment/","https://www.regenerativerevival.com/news/understanding-whartons-jelly-what-it-is-and-how-it-benefits-your-treatment","200","OK","3","0","28",""
"https://regenerativerevival.com/maximizing-the-benefits-of-regenerative-medicine-tips-for-optimal-results/","https://regenerativerevival.com/maximizing-the-benefits-of-regenerative-medicine-tips-for-optimal-results/","https://www.regenerativerevival.com/news/maximizing-the-benefits-of-regenerative-medicine-tips-for-optimal-results","200","OK","3","0","20",""
"https://regenerativerevival.com/the-role-of-growth-factors-in-regenerative-medicine/","https://regenerativerevival.com/the-role-of-growth-factors-in-regenerative-medicine/","https://www.regenerativerevival.com/news/the-role-of-growth-factors-in-regenerative-medicine","200","OK","3","0","17",""
"https://regenerativerevival.com/sexualwellness/","https://regenerativerevival.com/sexualwellness/","https://www.regenerativerevival.com/sexualwellness","404","MISSING","2","0","5",""
"https://regenerativerevival.com/how-to-prepare-for-your-regenerative-medicine-consultation/","https://regenerativerevival.com/how-to-prepare-for-your-regenerative-medicine-consultation/","https://www.regenerativerevival.com/news/how-to-prepare-for-your-regenerative-medicine-consultation","200","OK","3","0","4",""
"https://regenerativerevival.com/top-7-benefits-of-whartons-jelly-stem-cell-therapy-for-chronic-pain/","https://regenerativerevival.com/top-7-benefits-of-whartons-jelly-stem-cell-therapy-for-chronic-pain/","https://www.regenerativerevival.com/news/top-7-benefits-of-whartons-jelly-stem-cell-therapy-for-chronic-pain","200","OK","3","0","4",""
